iter	Passed	Remaining
0	2	271
1	5	279
2	8	261
3	11	267
4	15	294
5	17	280
6	20	274
7	22	260
8	26	269
9	30	277
10	33	270
11	35	263
12	37	253
13	42	259
14	45	255
15	47	248
16	49	240
17	51	233
18	53	226
19	56	227
20	61	230
21	63	224
22	65	218
23	68	215
24	74	224
25	77	221
26	79	215
27	81	209
28	84	207
29	89	208
30	91	203
31	93	198
32	95	193
33	99	193
34	102	190
35	104	185
36	107	182
37	109	178
38	112	175
39	116	174
40	118	170
41	120	166
42	123	163
43	124	158
44	127	156
45	131	153
46	133	150
47	134	145
48	137	142
49	139	139
50	142	137
51	145	134
52	147	130
53	149	127
54	151	123
55	154	121
56	157	119
57	159	115
58	161	112
59	164	109
60	165	106
61	168	103
62	172	101
63	174	98
64	176	95
65	178	92
66	183	90
67	185	87
68	187	84
69	190	81
70	192	78
71	197	76
72	199	73
73	201	70
74	203	67
75	205	64
76	210	63
77	213	60
78	215	57
79	217	54
80	218	51
81	220	48
82	223	45
83	225	43
84	227	40
85	230	37
86	232	34
87	233	31
88	236	29
89	239	26
90	241	23
91	243	21
92	245	18
93	249	15
94	251	13
95	254	10
96	255	7
97	257	5
98	259	2
99	263	0
