Price,Close,High,Low,Open,Volume,SMA_25,SMA_50,EMA_25,EMA_50
Ticker,DIS,DIS,DIS,DIS,DIS,,,,
Date,,,,,,,,,
2010-03-16,28.91521453857422,28.98375587512015,28.692461731261574,28.906648505621384,8472600,27.2568936920166,26.723140792846678,27.6130921424179,27.190327968537254
2010-03-17,28.91521453857422,28.992321908072984,28.726729131303728,28.949485206847186,7858400,27.390888900756835,26.7519274520874,27.713255403660696,27.25797057912694
2010-03-18,28.94091796875,29.000890008387458,28.718165145558167,28.86381059375455,8044200,27.519400863647462,26.78259906768799,27.807690985590646,27.323968515974904
2010-03-19,28.82097053527832,29.112264666001195,28.68389113659877,28.82097053527832,16729000,27.63865997314453,26.813784561157227,27.885635566335853,27.382674477516215
2010-03-22,29.08656120300293,29.292178652082423,28.632483072177397,28.675323036613516,11717600,27.771627044677736,26.850110626220705,27.97801446146409,27.449493564790203
2010-03-23,29.137969970703125,29.2150773471479,28.898081807644314,29.12940393697864,7038000,27.892942581176758,26.88660816192627,28.067241808328635,27.515708325806397
2010-03-24,29.463529586791992,29.49780025207422,29.018020742814606,29.05229140809683,12195200,28.013915176391603,26.938527069091798,28.174648560518126,27.59209347329603
2010-03-25,30.06325340270996,30.41451955415549,29.489231193334742,29.54920649218547,32705900,28.1533935546875,27.01169322967529,28.319925856071343,27.689001705822065
2010-03-26,30.251739501953125,30.500193662514814,29.857633375229554,29.891904041593452,22909800,28.293214797973633,27.0805757522583,28.46852690575456,27.78950122723897
2010-03-29,30.12322998046875,30.345982803792698,29.96044919681783,30.226038724446646,12560500,28.431665191650392,27.151514472961427,28.59581175765565,27.88102000187543
2010-03-30,30.071826934814453,30.15750362008976,29.78053274134114,30.097531574512725,17201800,28.57491340637207,27.228621711730955,28.709351386667866,27.966933999245587
2010-03-31,29.909038543701172,30.15749596558967,29.823365148402637,30.04611793711715,10789500,28.695543594360352,27.29544792175293,28.801635014131968,28.043094961773257
2010-04-01,30.457355499267578,30.491626163983724,29.994711330291047,30.046117327365263,14603000,28.839134445190428,27.370156173706054,28.92899812837317,28.137771845596564
2010-04-05,30.17462730407715,30.44878605461868,30.046113959910134,30.22603002715987,10607900,28.975528411865234,27.449148216247558,29.02481575727348,28.21764853024286
2010-04-06,30.38881492614746,30.508758974509004,30.07181620607173,30.19176352266347,12637700,29.110209045410155,27.54321895599365,29.129738770263785,28.302792310474416
2010-04-07,30.26030158996582,30.40595026891161,30.037548824097804,30.32027361416991,9242200,29.228097381591798,27.635747451782226,29.2167051410101,28.379557380258394
2010-04-08,30.560169219970703,30.628710560605455,30.106094277073968,30.226038354953786,9915900,29.3662052154541,27.738728408813476,29.320048531699378,28.465071570051034
2010-04-09,31.031373977661133,31.59682680482829,30.534459203486623,30.688673908007672,21346000,29.491290130615234,27.856959381103515,29.451688950619513,28.565710880153393
2010-04-12,30.748653411865234,31.125624233856318,30.67154604084259,30.96284019045803,10410800,29.582790603637694,27.969021949768067,29.551455447638418,28.65131646963229
2010-04-13,30.70581817626953,30.894303596266933,30.594440130977336,30.731519545094255,10922200,29.673605880737306,28.076800842285156,29.640252580610046,28.731885164010222
2010-04-14,31.014245986938477,31.022812020003446,30.64584446875858,30.748653206692477,9267400,29.772645797729492,28.19126220703125,29.74594438109685,28.82138951000741
2010-04-15,31.185598373413086,31.279837817035048,30.722954116078693,30.9114395397848,9185900,29.877854461669923,28.301268615722655,29.85668699589041,28.914103583082145
2010-04-16,30.697254180908203,31.27983927841307,30.56874079178976,31.031385070738658,12327500,29.94707977294922,28.388314208984376,29.921346010122548,28.984031057506698
2010-04-19,30.988542556762695,30.988542556762695,30.483064880494656,30.67154702933378,9840500,30.032069244384765,28.499691352844238,30.00343805217179,29.06263935159517
2010-04-20,31.305538177490234,31.39978087646742,31.082782112956775,31.082782112956775,16515000,30.128710403442383,28.619635887145996,30.10359960027321,29.15059616829694
2010-04-21,31.32267951965332,31.48546031478555,31.14276011971306,31.177030792866564,9039700,30.225009002685546,28.740951347351075,30.197374978687066,29.23577590756582
2010-04-22,31.511154174804688,31.58826153690578,30.94570127547351,31.099915999675694,10494600,30.328846588134766,28.8598677444458,30.29843491684996,29.325006427849697
2010-04-23,31.519723892211914,31.5711266221391,31.26270043788436,31.528289924456264,7677100,30.431998825073244,28.975699844360353,30.392380222647034,29.411073779393313
2010-04-26,31.733909606933594,31.81958299948634,31.416910864381478,31.494018224971125,9983200,30.548516387939454,29.093588180541992,30.495574790669078,29.502165380473322
2010-04-27,31.117055892944336,31.545429463351862,30.979976481143165,31.511158793343828,10931300,30.629736175537108,29.200681610107424,30.543381029305635,29.56549442017807
2010-04-28,31.091358184814453,31.314111029628535,30.808630026310166,31.288409658212277,10930900,30.707871704101564,29.30040714263916,30.58553311819093,29.625332214869694
2010-04-29,31.88812828063965,32.03377371967812,31.27126931946295,31.27126931946295,10576700,30.80485565185547,29.409385414123534,30.685732746071604,29.714069315488125
2010-04-30,31.562557220458984,32.11944403557745,31.35693651800949,31.86241734045804,11456400,30.86482780456543,29.509110679626463,30.753180782562943,29.786559037251692
2010-05-03,32.179420471191406,32.53925266452121,31.5625615475053,31.656804246205194,10887500,30.94193504333496,29.617574920654295,30.86289152784206,29.880396740543446
2010-05-04,31.348373413085938,31.956663009428663,31.117051326822402,31.948096977299123,13195700,30.990940780639647,29.711302986145018,30.900236288245438,29.937964453192173
2010-05-05,30.27743911743164,31.32267150349676,30.054686335403723,31.211293478367583,17960000,30.999165267944335,29.787039337158202,30.852328813567457,29.951277185123136
2010-05-06,29.137969970703125,30.457361403988802,26.559162413127584,30.12323052880514,25181500,30.968322525024416,29.831933059692382,30.720455056424047,29.919382784557648
2010-05-07,28.623920440673828,29.429261536996663,28.075602820349275,29.009457288786656,22579800,30.894985122680666,29.867059783935545,30.5591831629048,29.86858033969946
