iter	Passed	Remaining
0	157	7733
1	163	3929
2	169	2650
3	174	2004
4	180	1623
5	185	1360
6	191	1175
7	197	1034
8	202	920
9	207	829
10	213	755
11	218	692
12	224	638
13	229	590
14	235	548
15	241	512
16	246	479
17	253	451
18	260	424
19	265	398
20	270	373
21	276	351
22	281	330
23	288	312
24	294	294
25	299	276
26	306	260
27	312	245
28	319	231
29	326	217
30	331	203
31	338	190
32	344	177
33	350	165
34	357	153
35	362	141
36	368	129
37	373	118
38	379	106
39	385	96
40	390	85
41	395	75
42	404	65
43	410	55
44	417	46
45	422	36
46	427	27
47	433	18
48	439	8
49	444	0
